valid_post_set,post_text_proportion,avg_post_word_count,prop_posts_with_date,dates_per_post,prop_posts_with_post_term,post_terms_per_post,avg_sent_length,cv_post_word_count,avg_post_similarity,lexical_diversity,words_per_line,mean_element_count,post_count
0,0.93,52.4,0.0,0.0,0.0,0.0,47.64,0.96,0.08,0.66,1.68,45.6,10
1,0.21,18.0,0.8,0.8,0.8,0.8,15.0,0.7,0.38,0.68,1.29,12.5,10
0,0.03,3.0,0.0,0.0,0.0,0.0,3.0,0.0,0.9,0.33,3.0,3.0,8
1,0.09,8.0,1.0,2.2,1.0,2.2,8.0,0.0,0.91,0.35,0.67,8.0,5
0,0.08,1.5,0.0,0.0,0.0,0.0,1.5,0.44,0.2,0.47,1.5,3.5,24
1,0.78,12.21,0.06,0.06,0.06,0.06,11.42,0.87,0.23,0.45,5.94,13.3,159
0,0.08,1.59,0.0,0.0,0.0,0.0,1.58,0.56,0.6,0.86,0.53,6.25,130
1,0.68,21.79,0.71,0.71,0.71,0.71,18.03,0.34,0.32,0.55,1.26,17.54,24
0,0.26,9.85,0.8,0.8,0.8,0.8,9.85,0.43,0.44,0.45,2.46,7.9,20
1,0.68,21.79,0.71,0.71,0.71,0.71,18.03,0.34,0.32,0.55,1.26,17.54,24
0,0.26,9.85,0.8,0.8,0.8,0.8,9.85,0.43,0.44,0.45,2.46,7.9,20
1,0.62,30.12,0.0,0.0,0.0,0.0,17.21,0.11,0.39,0.53,4.3,12.0,8
0,0.24,4.18,0.0,0.0,0.0,0.0,4.18,0.74,0.27,0.36,4.18,3.5,22
1,0.62,30.12,0.0,0.0,0.0,0.0,17.21,0.11,0.39,0.53,4.3,12.0,8
0,0.24,4.18,0.0,0.0,0.0,0.0,4.18,0.74,0.27,0.36,4.18,3.5,22
1,0.93,41.7,0.35,0.35,0.35,0.35,16.63,0.33,0.15,0.28,2.59,13.09,122
1,0.84,14.93,0.03,0.04,0.03,0.04,13.0,0.48,0.22,0.29,1.2,11.64,148
0,0.11,3.7,0.0,0.0,0.0,0.0,3.52,0.85,0.16,0.56,3.7,4.58,80
1,0.08,25.38,0.0,0.0,0.0,0.0,15.0,0.4,0.37,0.33,1.59,13.0,13
0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.44,0.22,1.0,3.0,9
1,0.8,30.6,0.93,0.93,0.93,0.93,15.3,0.35,0.32,0.46,30.6,19.3,30
0,0.07,1.01,0.0,0.0,0.0,0.0,1.01,0.11,0.44,0.09,1.01,3.33,80
1,0.3,19.54,0.67,1.13,0.67,1.13,16.21,0.39,0.34,0.4,1.65,11.4,112
1,0.91,74.25,1.0,1.08,1.0,1.08,20.72,0.2,0.13,0.4,2.62,20.83,12
1,1.1,46.92,0.08,0.08,0.08,0.08,20.33,2.56,0.25,0.45,1.0,40.15,13
0,0.27,9.31,0.0,0.0,0.0,0.0,8.28,0.68,0.19,0.78,4.38,8.12,16
0,0.06,1.6,0.0,0.0,0.0,0.0,1.6,0.54,0.22,0.46,1.6,3.65,63
1,0.82,26.11,0.96,1.0,0.96,1.0,24.31,0.27,0.37,0.52,26.11,42.89,27
0,0.09,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.48,0.04,1.0,4.55,78
1,1.03,56.54,1.0,2.62,1.0,2.62,35.0,2.84,0.58,0.41,0.9,45.77,13
0,0.2,4.03,0.33,0.33,0.33,0.33,4.03,0.61,0.39,0.5,0.71,5.06,36
1,0.11,17.93,0.86,0.86,0.86,0.86,16.73,0.3,0.4,0.64,0.67,18.71,14
0,0.07,2.45,0.0,0.0,0.0,0.0,2.45,0.58,0.27,0.4,2.45,3.5,66
1,0.3,44.04,0.64,1.3,0.64,1.3,16.43,0.5,0.17,0.49,3.27,18.87,47
0,0.15,3.52,0.0,0.0,0.0,0.0,3.5,3.06,0.73,0.41,0.31,6.68,292
1,1.78,97.5,0.83,1.17,0.83,1.17,22.22,1.53,0.22,0.19,1.19,43.22,18
0,0.19,4.0,0.0,0.0,0.0,0.0,4.0,0.89,0.22,0.46,1.62,6.17,47
1,0.92,14.16,0.0,0.0,0.0,0.0,13.45,0.47,0.22,0.49,12.08,12.88,209
0,0.09,1.73,0.0,0.0,0.0,0.0,1.73,0.45,0.23,0.39,1.66,3.5,171
1,1.54,93.53,1.0,1.63,1.0,1.63,93.53,2.18,0.16,0.15,1.1,90.68,19
0,0.11,2.38,0.0,0.0,0.0,0.0,2.38,0.52,0.22,0.74,2.38,3.94,52
1,0.92,569.4,1.0,1.6,1.0,1.6,25.19,0.7,0.04,0.29,31.99,38.4,5
0,0.02,5.9,0.5,0.5,0.5,0.5,5.9,0.5,0.42,0.34,5.9,5.7,10
1,1.71,91.26,0.37,0.58,0.37,0.58,29.39,1.46,0.16,0.24,4.36,22.32,19
1,0.31,26.08,1.0,1.15,1.0,1.15,17.84,0.66,0.29,0.49,0.75,22.15,13
0,0.25,3.09,0.0,0.0,0.0,0.0,3.09,0.6,0.21,0.36,3.09,3.59,88
1,0.71,12.81,0.0,0.0,0.0,0.0,10.48,0.31,0.5,0.4,1.3,8.03,36
1,0.84,18.08,0.07,0.07,0.07,0.07,14.44,0.7,0.22,0.42,18.08,11.29,115
0,0.09,1.95,0.0,0.0,0.0,0.0,1.95,0.55,0.14,0.46,1.95,3.86,110
1,0.39,35.9,0.0,0.0,0.0,0.0,16.79,0.6,0.16,0.5,2.66,15.03,29
1,0.49,14.82,1.0,1.0,1.0,1.0,14.4,0.25,0.53,0.37,0.99,11.51,68
1,0.35,78.8,1.0,1.0,1.0,1.0,56.29,0.25,0.11,0.48,4.64,22.0,5
0,0.22,2.88,0.02,0.02,0.02,0.02,2.88,0.67,0.22,0.62,2.88,4.83,89
1,0.41,44.57,0.86,0.86,0.86,0.86,17.33,1.58,0.33,0.6,7.26,7.43,7
0,0.1,2.57,0.0,0.0,0.0,0.0,2.57,0.43,0.22,0.86,2.57,4.89,28
1,0.45,68.86,0.14,0.14,0.14,0.14,22.95,2.09,0.29,0.56,1.41,33.0,7
0,0.02,1.47,0.0,0.0,0.0,0.0,1.47,0.49,0.37,0.84,0.45,4.53,17
1,0.68,90.32,1.0,1.18,1.0,1.18,27.22,0.16,0.1,0.41,45.16,16.0,22
