page_with_posts,word_count,date_count,post_term_count,lexical_diversity,article_count,div_count,by_count,element_count,post_term_count_url,top_class_count,top_3_class_count,top_class_prop_total,top_class_prop_unique_words,mean_descendant_count
1,1722,13,662,0.41,44,260,12,1355,2,44,41,0.67,0.37,22.683394833948338
1,2887,7,371,0.29,82,829,78,2314,0,144,121.33,0.58,0.28,52.8504753673293
1,1432,4,149,0.4,16,397,2,1347,2,48,36,0.2,0.43,34.25612472160356
1,3715,35,1096,0.5,121,1222,0,6379,1,538,354.67,0.26,0.71,15.31682081831008
1,877,17,231,0.45,15,206,0,569,0,23,18.33,0.17,0.44,23.676625659050966
1,994,26,1178,0.63,32,248,1,2262,1,75,55,0.42,0.72,14.179929266136163
1,957,5,137,0.46,17,210,3,682,2,40,28,0.48,0.5,31.618768328445746
1,966,30,1458,0.57,28,201,1,1964,0,56,43,0.45,0.5,13.59979633401222
1,1828,31,252,0.44,49,416,9,1630,0,49,45,0.0,0,52.74478527607362
1,604,6,125,0.64,5,73,0,887,0,88,56,0.41,0.46,17.3945885005637
1,3026,20,796,0.47,6,656,0,2012,0,113,68,0.0,0,25.98409542743539
1,1274,14,811,0.49,27,96,0,720,0,27,27,0.66,0.48,17.508333333333333
1,2469,3,697,0.3,116,716,11,2158,0,116,114.67,0.33,0.27,74.0917516218721
1,906,8,128,0.47,5,115,4,441,0,10,9.33,0.88,0.6,20.217687074829932
1,533,0,84,0.43,12,170,1,579,1,32,25,0.11,0.0,26.40587219343696
1,864,4,202,0.45,11,212,3,1025,1,60,46.33,0.0,0,35.70146341463415
1,1520,30,368,0.45,7,431,3,1472,0,19,19,0.76,0.68,40.16372282608695
1,839,8,281,0.49,10,151,2,571,1,8,6.67,0.03,0.25,20.52014010507881
1,437,14,243,0.5,5,358,2,839,0,53,40.67,1.19,0.31,39.95113230035757
1,293,0,240,0.56,11,61,1,361,2,8,8,0.35,0.97,10.92797783933518
1,1976,40,421,0.39,15,413,6,1250,0,98,64.67,0.0,0,18.2288
1,8496,136,542,0.2,7,1972,27,6081,1,250,226.67,0.03,0.0,33.61897714191745
1,2330,29,154,0.4,9,181,0,913,0,21,19,0.81,0.44,28.64184008762322
1,849,13,152,0.53,10,28,6,315,0,10,10,0.75,0.83,13.638095238095238
1,4265,34,207,0.3,27,16,17,666,1,28,22.67,0.04,0.42,17.076576576576578
1,2420,8,656,0.52,49,451,8,1421,0,96,64.67,0.84,0.74,23.845179451090782
1,597,7,68,0.58,5,137,0,469,3,63,29,0.23,0.48,38.82942430703625
1,1382,80,252,0.51,45,487,1,1510,0,45,45,0.0,0,28.32913907284768
1,557,2,135,0.6,13,114,1,540,1,16,13,0.26,0.79,25.503703703703703
1,1597,11,239,0.44,13,254,14,838,2,63,37.33,0.07,0.15,20.4618138424821
1,2765,170,499,0.34,39,559,0,1927,0,117,74.33,0.32,0.06,34.32797093928386
1,801,24,258,0.48,35,56,1,858,1,17,15.67,0.02,0.24,28.56759906759907
1,2347,13,144,0.42,14,160,0,1097,0,66,47.33,0.08,0.05,27.2771194165907
1,988,7,152,0.43,18,202,2,684,1,47,28.67,0.21,0.03,32.67836257309941
1,8504,136,542,0.2,7,1972,27,6081,1,250,226.67,0.03,0.0,33.61897714191745
1,1017,6,117,0.49,19,180,2,526,0,13,12.33,0.71,0.85,29.85171102661597
1,1508,3,856,0.3,32,152,0,648,0,32,32,0.97,0.41,20.973765432098766
1,960,4,42,0.52,5,311,6,1087,0,68,67.33,0.0,1.0,26.782888684452622
1,570,1,52,0.47,6,144,0,710,2,12,10.33,0.67,0.9,21.304225352112677
1,1077,1,52,0.39,7,335,13,753,2,61,31.33,1.12,0.02,34.180610889774236
1,1296,14,463,0.48,24,180,10,1502,1,177,75.33,0.24,0.61,26.63382157123835
1,791,9,121,0.52,8,73,2,636,1,45,27.33,0.19,0.71,21.68238993710692
1,4925,51,411,0.3,5,391,17,1245,1,86,67.33,0.15,0.0,45.22248995983936
1,3641,4,122,0.35,5,21,0,269,0,18,12.67,0.48,0.24,22.092936802973977
1,296,3,297,0.72,8,131,1,469,0,11,8.33,0.32,0.95,23.307036247334754
1,945,3,91,0.48,8,245,0,893,0,25,21,0.1,0.03,31.019036954087348
1,2706,65,824,0.33,56,330,35,1163,1,112,78.33,0.14,0.0,20.40842648323302
1,324,1,372,0.66,6,202,0,761,0,63,54.33,0.39,0.84,11.526938239159001
1,682,4,125,0.41,8,134,1,632,1,72,31.33,0.27,0.06,30.57278481012658
1,1050,6,455,0.43,7,289,10,907,1,48,42.33,0.11,0.09,25.05071664829107
